--------- beginning of main
08-20 14:14:33.432 20000 20032 I godot   : PERF t=146.9 fps=29.0 p95=41.7 cpu=0.5 gpu_est=18.1 dc=112 prim=37542 vram=160 static_mem=146 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:35.427 20000 20032 I godot   : PERF t=149.0 fps=28.7 p95=42.1 cpu=0.9 gpu_est=18.4 dc=112 prim=37462 vram=160 static_mem=146 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:37.460 20000 20032 I godot   : PERF t=151.0 fps=28.7 p95=45.0 cpu=0.4 gpu_est=18.3 dc=112 prim=37546 vram=160 static_mem=146 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:39.485 20000 20032 I godot   : PERF t=153.0 fps=29.0 p95=45.0 cpu=1.0 gpu_est=15.2 dc=122 prim=38968 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:41.519 20000 20032 I godot   : PERF t=155.0 fps=29.2 p95=39.7 cpu=0.8 gpu_est=19.4 dc=122 prim=38534 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:43.516 20000 20032 I godot   : PERF t=157.0 fps=29.0 p95=41.8 cpu=0.7 gpu_est=19.4 dc=120 prim=38582 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:45.557 20000 20032 I godot   : PERF t=159.1 fps=29.0 p95=42.7 cpu=0.5 gpu_est=18.9 dc=111 prim=37712 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:47.571 20000 20032 I godot   : PERF t=161.1 fps=29.4 p95=40.1 cpu=0.8 gpu_est=18.3 dc=111 prim=37462 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:49.595 20000 20032 I godot   : PERF t=163.1 fps=29.9 p95=34.7 cpu=0.9 gpu_est=18.6 dc=111 prim=37034 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:51.599 20000 20032 I godot   : PERF t=165.1 fps=29.8 p95=36.1 cpu=0.2 gpu_est=18.5 dc=111 prim=37032 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:53.595 20000 20032 I godot   : PERF t=167.1 fps=29.5 p95=37.4 cpu=0.4 gpu_est=20.3 dc=111 prim=37032 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:55.635 20000 20032 I godot   : PERF t=169.1 fps=29.4 p95=34.7 cpu=0.8 gpu_est=18.4 dc=111 prim=37034 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:57.671 20000 20032 I godot   : PERF t=171.2 fps=29.4 p95=35.5 cpu=0.5 gpu_est=18.1 dc=111 prim=37032 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:14:59.703 20000 20032 I godot   : PERF t=173.2 fps=29.5 p95=35.5 cpu=0.5 gpu_est=18.0 dc=111 prim=37290 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:01.735 20000 20032 I godot   : PERF t=175.2 fps=29.1 p95=37.4 cpu=0.7 gpu_est=18.5 dc=111 prim=37628 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:03.767 20000 20032 I godot   : PERF t=177.3 fps=29.1 p95=37.7 cpu=0.7 gpu_est=18.5 dc=111 prim=37634 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:05.757 20000 20032 I godot   : PERF t=179.3 fps=29.6 p95=34.7 cpu=0.8 gpu_est=18.0 dc=111 prim=37544 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:07.791 20000 20032 I godot   : PERF t=181.3 fps=29.8 p95=34.7 cpu=0.8 gpu_est=18.7 dc=111 prim=37630 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:09.795 20000 20032 I godot   : PERF t=183.3 fps=29.8 p95=34.7 cpu=0.5 gpu_est=18.3 dc=111 prim=37636 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:11.813 20000 20032 I godot   : PERF t=185.3 fps=29.5 p95=34.7 cpu=0.5 gpu_est=18.6 dc=111 prim=37370 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:13.849 20000 20032 I godot   : PERF t=187.4 fps=29.7 p95=33.9 cpu=0.4 gpu_est=18.4 dc=111 prim=37280 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:15.834 20000 20032 I godot   : PERF t=189.4 fps=29.7 p95=34.0 cpu=0.3 gpu_est=18.9 dc=111 prim=37110 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:17.860 20000 20032 I godot   : PERF t=191.4 fps=29.5 p95=34.7 cpu=0.7 gpu_est=18.4 dc=111 prim=37282 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:19.871 20000 20032 I godot   : PERF t=193.4 fps=29.5 p95=41.1 cpu=0.5 gpu_est=20.4 dc=111 prim=37032 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:21.891 20000 20032 I godot   : PERF t=195.4 fps=29.2 p95=34.7 cpu=0.7 gpu_est=18.2 dc=111 prim=37114 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:23.892 20000 20032 I godot   : PERF t=197.4 fps=28.8 p95=41.3 cpu=0.9 gpu_est=18.5 dc=111 prim=36944 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:25.925 20000 20032 I godot   : PERF t=199.4 fps=29.3 p95=41.7 cpu=0.5 gpu_est=18.4 dc=111 prim=37462 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:27.963 20000 20032 I godot   : PERF t=201.5 fps=30.1 p95=33.8 cpu=0.7 gpu_est=18.0 dc=111 prim=37550 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:29.957 20000 20032 I godot   : PERF t=203.5 fps=29.8 p95=33.8 cpu=0.5 gpu_est=18.5 dc=111 prim=37546 vram=161 static_mem=147 chunks=9 near=4 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:31.964 20000 20032 I godot   : PERF t=205.5 fps=29.6 p95=34.3 cpu=0.8 gpu_est=18.9 dc=116 prim=39338 vram=161 static_mem=147 chunks=9 near=1 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:34.007 20000 20032 I godot   : PERF t=207.5 fps=29.6 p95=34.7 cpu=0.8 gpu_est=14.6 dc=111 prim=38184 vram=161 static_mem=147 chunks=9 near=0 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:36.037 20000 20032 I godot   : PERF t=209.5 fps=29.6 p95=34.7 cpu=0.7 gpu_est=18.2 dc=111 prim=37296 vram=161 static_mem=147 chunks=9 near=0 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:38.033 20000 20032 I godot   : PERF t=211.5 fps=29.8 p95=34.7 cpu=0.9 gpu_est=19.2 dc=117 prim=39570 vram=161 static_mem=147 chunks=9 near=0 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:40.033 20000 20032 I godot   : PERF t=213.6 fps=29.9 p95=34.0 cpu=0.7 gpu_est=15.9 dc=101 prim=33444 vram=161 static_mem=147 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:42.030 20000 20032 I godot   : PERF t=215.6 fps=29.9 p95=33.7 cpu=0.9 gpu_est=17.8 dc=103 prim=35486 vram=161 static_mem=147 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:44.066 20000 20032 I godot   : PERF t=217.6 fps=29.5 p95=34.7 cpu=0.5 gpu_est=15.7 dc=92 prim=33122 vram=161 static_mem=147 chunks=9 near=8 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:46.067 20000 20032 I godot   : PERF t=219.6 fps=29.5 p95=34.7 cpu=0.5 gpu_est=16.4 dc=79 prim=28894 vram=161 static_mem=147 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:48.069 20000 20032 I godot   : PERF t=221.6 fps=29.7 p95=34.7 cpu=0.6 gpu_est=14.4 dc=113 prim=33312 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:50.066 20000 20032 I godot   : PERF t=223.6 fps=29.7 p95=33.3 cpu=0.5 gpu_est=14.1 dc=113 prim=33234 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:52.067 20000 20032 I godot   : PERF t=225.6 fps=30.0 p95=33.5 cpu=0.5 gpu_est=14.0 dc=115 prim=33358 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:54.104 20000 20032 I godot   : PERF t=227.6 fps=29.8 p95=34.7 cpu=0.5 gpu_est=14.8 dc=115 prim=33358 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:56.113 20000 20032 I godot   : PERF t=229.6 fps=29.5 p95=34.7 cpu=0.8 gpu_est=14.8 dc=115 prim=33358 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:15:58.125 20000 20032 I godot   : PERF t=231.7 fps=29.5 p95=34.7 cpu=0.8 gpu_est=14.6 dc=115 prim=32928 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:16:00.133 20000 20032 I godot   : PERF t=233.7 fps=29.8 p95=34.7 cpu=1.0 gpu_est=14.5 dc=115 prim=32926 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:16:02.143 20000 20032 I godot   : PERF t=235.7 fps=29.9 p95=34.7 cpu=0.8 gpu_est=14.7 dc=115 prim=32926 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:16:04.179 20000 20032 I godot   : PERF t=237.7 fps=30.0 p95=34.7 cpu=0.5 gpu_est=14.5 dc=115 prim=33014 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:16:06.209 20000 20032 I godot   : PERF t=239.7 fps=30.0 p95=34.3 cpu=0.8 gpu_est=16.9 dc=115 prim=32926 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:16:08.228 20000 20032 I godot   : PERF t=241.7 fps=29.8 p95=35.5 cpu=0.8 gpu_est=14.8 dc=115 prim=32922 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:16:10.250 20000 20032 I godot   : PERF t=243.8 fps=29.5 p95=36.6 cpu=0.8 gpu_est=14.7 dc=113 prim=33516 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:16:12.252 20000 20032 I godot   : PERF t=245.8 fps=29.1 p95=37.5 cpu=0.8 gpu_est=14.9 dc=107 prim=33260 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:16:14.254 20000 20032 I godot   : PERF t=247.8 fps=29.4 p95=35.2 cpu=1.1 gpu_est=15.0 dc=117 prim=34360 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:16:16.245 20000 20032 I godot   : PERF t=249.8 fps=29.9 p95=34.4 cpu=0.7 gpu_est=14.9 dc=117 prim=34360 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
08-20 14:16:18.252 20000 20032 I godot   : PERF t=251.8 fps=29.5 p95=33.3 cpu=0.8 gpu_est=14.5 dc=117 prim=34360 vram=161 static_mem=149 chunks=9 near=6 inst=71 lights=0 preset=performance knob=15 thermal=1
